Fox_education_Virginia,Fox_education_Lilly,Fox_education_Kris,Fox_education_Gayla,Fox_education_Andre,Fox_education_Willis,Fox_education_Charles,Fox_education_Leota,Fox_education_Theodore,Fox_education_Dewayne,Fox_education_Jacqueline,Fox_education_Yolande,Fox_education_Lesley,Fox_education_Maris,Fox_education_John,Fox_education_Marcelina,Fox_education_Sterling,Fox_education_Elvira,Fox_education_Ollie,Fox_education_Elois,Fox_education_Melinda,Fox_education_Geoffrey,Fox_education_Vernon,Fox_education_Tamika,Fox_education_Janina,Fox_education_Burton,Fox_education_Gloria,Fox_education_Nilda,Fox_education_Ashli,Fox_education_Miguelina,Fox_education_Long,Fox_education_Louie,Fox_education_Shaun,Fox_education_Kim,Fox_education_Otilia,Fox_education_Tonya,Fox_education_Elizabeth,Fox_education_Eddy,Fox_education_Melvin,Fox_education_Eldon,Fox_education_Suzan,Fox_education_Shirley,Fox_education_Claude,Fox_education_Maureen,Fox_education_Dominique,Fox_education_Stacia,Fox_education_Ray,Fox_education_Marlana,Fox_education_Rudolph,Fox_education_Leona,Fox_public_Bart,Fox_public_Denny,Fox_public_Lauren,Fox_public_Martin,Fox_public_Belle,Fox_public_Rhonda,Rat_public_Emilee,Rat_public_Nell,Rat_public_Frederick,Rat_public_Leta,Rat_public_Kelly,Rat_public_Sean,Rat_public_Kathleen,Rat_public_Becky,Rat_public_Toya,Rat_public_Loretta,Rat_public_Sharron,Rat_public_Kelle,Rat_public_Johnna,Rat_public_Bronwyn,Rat_public_Alanna,Rat_public_Lynda,Rat_public_Yetta,Rat_public_Laurie,Rat_public_Sade,Rat_public_Damon,Rat_public_Vickie,Rat_public_Chrissy,Rat_public_Allyson,Rat_public_Johnny,Rat_public_Isabel,Rat_public_Yessenia,Rat_public_Joann,Rat_public_Stella,Rat_public_Hortencia,Rat_public_Roma,Rat_public_Fredrick,Rat_public_Helena,Rat_public_Sharonda,Rat_public_Elmira,Rat_public_Clyde,Rat_public_Allie,Rat_public_Leo,Rat_public_Ramona,Rat_public_Julieann,Rat_public_Laura,Rat_public_Kermit,Rat_public_Courtney,Rat_public_Ulysses,Rat_public_Kimber,Fox_office_Israel,Fox_office_Gaylord,Fox_office_Margarita,Fox_office_Clayton,Fox_office_Demetrius,Fox_office_Berniece,Fox_office_Susanne,Fox_office_Alice,Fox_office_Molly,Fox_office_Brandy,Fox_office_Vicki,Fox_office_Karima,Fox_office_Zachary,Fox_office_Joy,Fox_office_Easter,Fox_office_Juana,Fox_office_Carson,Fox_office_Sheila,Fox_office_Thelma,Fox_office_Essie,Fox_office_Rowena,Fox_office_Bernard,Fox_office_Edythe,Fox_office_Yong,Rat_office_Annis,Rat_office_Jessica,Rat_office_Colby,Rat_office_Adele,Rat_office_Chris,Rat_office_Jacinta,Rat_office_Olivia,Rat_office_Ronald,Rat_office_Jamal,Rat_office_Ashlee,Rat_office_Sammy,Rat_office_Arron,Rat_office_Tracy,Rat_office_Randy,Rat_office_Craig,Rat_office_Mei,Rat_office_Jeannie,Rat_office_Kasey,Rat_office_Lora,Rat_office_Ramiro,Rat_office_Jill,Rat_office_Avis,Rat_office_Rosemary,Rat_office_Loyd,Bull_office_Anne,Bull_office_Myron
2.3049999999999997,159.04500000000002,30.845,44.87722543352601,429.93,2116.295,10.26,151.79500000000002,254.065,46.235,99.89,487.67999999999995,7.01,25.265,33.69,1.1300000000000001,5.275,180.285,75.55,8.15,357.725,118.75,35.34,81.025,138.81,42.44,674.425,86.025,17.755,47.705,80.66999999999999,66.41,56.265,26.72,858.51,168.515,336.33000000000004,184.88,34.760000000000005,188.625,25.365000000000002,66.785,917.395,251.69,151.01999999999998,73.485,72.765,144.865,13.425,200.54500000000002,45.105000000000004,109.835,102.91,158.3,63.775,83.36500000000001,13.9,40.225,16.47,14.115,17.6,30.29,29.435,17.200000000000003,23.145,196.36,45.08,23.595,45.96,410.70000000000005,1113.06,8.915,14.295,126.805,26.44,19.47,111.155,39.28,45.739999999999995,27.15,36.894999999999996,83.955,12.765,90.61500000000001,34.715,23.22,10.65,18.990000000000002,34.685,25.05,28.630000000000003,5.065,19.435000000000002,20.46,1.21,12.84,13.21,17.630000000000003,,131.91,98.83,97.02000000000001,10.219999999999999,30.51,175.635,20.53,15.23,303.1,3.4699999999999998,12.55,95.69999999999999,25.240000000000002,253.655,118.94999999999999,13.33,11.995,31.25,6.404999999999999,102.82499999999999,18.855,23.655,129.59,96.50999999999999,170.26999999999998,24.21,584.56,1818.0149999999999,430.04,641.4300000000001,188.07,22.915,40.37,627.1500000000001,26.245,42.22,34.95,16.330000000000002,60.114999999999995,184.055,15.2,24.200000000000003,66.15,297.185,32.915,336.94,1066.45,13.315,41.84,21.0,49.0
2.675,159.985,31.755,44.74514450867052,421.44,2112.005,10.36,148.43,254.70000000000002,46.82,98.65,485.975,7.255,25.285,33.335,1.065,5.225,207.095,75.11500000000001,8.16,351.945,118.245,34.945,81.66999999999999,134.63,42.269999999999996,679.465,84.33500000000001,17.455000000000002,46.85,79.06,65.845,56.14,26.275,856.915,168.275,327.73,184.385,35.635,187.915,26.55,65.655,942.3,247.755,151.235,73.49,73.285,145.735,11.969999999999999,200.64,40.84,111.35,106.635,157.555,64.02,85.235,14.18,40.045,15.1,13.530000000000001,16.125,29.564999999999998,27.665,16.884999999999998,25.325000000000003,191.325,45.230000000000004,23.65,55.935,409.68,1120.02,8.875,14.114999999999998,126.485,26.015,18.335,106.58,40.489999999999995,45.53,26.605,37.02,85.7,12.74,89.755,34.144999999999996,23.455,10.84,18.505000000000003,35.29,25.520000000000003,29.689999999999998,5.0600000000000005,19.2,20.545,1.21,12.825,13.355,17.8,,134.3,105.075,99.22999999999999,10.125,29.235,175.85500000000002,20.965,14.765,306.14,3.545,12.65,98.0,23.84,252.83,117.44,13.25,12.219999999999999,29.845,6.885,108.785,17.91,23.71,129.685,95.33500000000001,172.625,23.865000000000002,573.325,1821.58,450.05,642.93,182.17000000000002,22.52,42.125,659.975,25.425,42.835,35.295,16.35,61.895,182.58,15.774999999999999,24.494999999999997,68.68,383.61,33.004999999999995,340.31,1028.29,13.54,40.03,21.0,45.5
2.2350000000000003,160.435,32.15,44.83306358381503,407.305,2122.56,10.67,147.835,254.94,46.82,99.115,487.98,6.875,25.35,35.144999999999996,1.15,5.305,187.065,77.725,8.48,351.495,118.72999999999999,34.82,80.88,133.86,42.349999999999994,677.985,84.53999999999999,17.13,47.685,79.31,65.59,57.515,26.064999999999998,858.435,168.085,332.655,289.045,35.89,189.72,27.11,65.935,943.785,247.665,150.83499999999998,73.815,75.27000000000001,144.75,11.29,192.54,41.22,113.36,105.425,156.015,63.765,101.22,13.9,40.075,16.615000000000002,13.225000000000001,15.77,30.525,27.805,16.424999999999997,24.73,191.785,45.120000000000005,23.665,42.16,410.22,1132.02,8.795,14.399999999999999,128.255,24.314999999999998,17.380000000000003,104.22,40.435,45.22,26.8,36.845,89.74000000000001,12.865,90.155,35.965,23.42,10.365,21.225,35.07,23.98,30.86,5.075,19.59,20.235,1.2149999999999999,12.879999999999999,13.260000000000002,17.744999999999997,,125.35,101.25,100.975,10.125,28.585,180.98499999999999,37.38,14.73,306.53999999999996,3.54,13.525,98.52,23.6,254.87,133.385,13.309999999999999,11.93,29.9,6.665,105.465,17.56,25.060000000000002,129.945,93.35499999999999,177.24,23.380000000000003,572.745,1826.705,438.7,644.5799999999999,181.32999999999998,22.91,42.175,618.325,26.175,41.305,34.635,16.134999999999998,60.885000000000005,182.73000000000002,15.35,25.225,67.01,373.315,33.045,357.35,1065.995,13.77,37.489999999999995,21.0,45.0
2.24,162.045,31.335,44.86598265895954,401.04999999999995,2113.465,10.64,149.535,253.73000000000002,46.935,98.845,481.51,6.74,25.085,34.32,1.16,5.295,182.41,78.07,8.695,345.805,118.705,34.855000000000004,80.59,135.865,42.480000000000004,683.935,85.91,17.385,45.235,79.43,64.67999999999999,56.21,26.225,857.5350000000001,167.675,333.54499999999996,317.59,34.935,189.565,27.35,64.065,943.1199999999999,248.11,153.26999999999998,74.03999999999999,75.45500000000001,145.39,10.975,191.77,40.885000000000005,110.495,106.61500000000001,156.21499999999997,64.275,103.39,13.865,40.605000000000004,16.715,13.245000000000001,15.585,30.964999999999996,29.33,15.85,19.385,190.82,44.599999999999994,23.634999999999998,38.615,413.52,1105.08,8.465,14.26,132.645,23.565,16.195,100.925,38.7,44.435,25.775,36.465,89.335,12.74,90.375,34.155,23.75,10.38,21.5,35.18,25.325000000000003,29.895,5.025,19.23,19.845,1.2149999999999999,13.129999999999999,13.365,17.695,,134.76500000000001,98.27,102.14500000000001,10.225000000000001,28.845,186.305,41.32,15.010000000000002,305.095,3.615,12.73,100.37,23.86,261.2,134.39999999999998,13.760000000000002,11.835,30.115,6.845,109.00500000000001,18.06,24.83,136.605,93.85,177.265,23.17,573.22,1854.285,457.32500000000005,640.5899999999999,185.02499999999998,22.805,41.87,616.31,25.545,42.67,34.739999999999995,16.565,60.42,182.865,15.599999999999998,25.175,67.89500000000001,377.96000000000004,33.42,331.75,1075.36,13.469999999999999,36.85,21.5,46.5
2.585,161.495,31.244999999999997,44.903901734104046,415.355,2105.1400000000003,10.605,147.84500000000003,253.755,46.894999999999996,98.73,484.46000000000004,7.055,25.22,37.95,10.295,6.79,187.195,79.02,8.805,341.5,119.105,34.900000000000006,81.565,149.41,42.76,676.58,85.495,17.445,49.224999999999994,77.92,65.715,55.620000000000005,25.935000000000002,855.3399999999999,168.695,330.31,407.425,40.545,189.745,27.990000000000002,66.775,940.8399999999999,248.115,162.15,73.745,75.17,144.88,10.885,191.0,40.03,118.92500000000001,108.685,155.97,64.91499999999999,107.03,13.995000000000001,40.205,16.96,13.43,15.505,30.415,26.555,16.33,20.32,189.67000000000002,44.935,23.68,35.84,419.1,1096.44,8.584999999999999,14.27,139.45,24.125,15.725000000000001,101.45500000000001,40.754999999999995,44.515,24.915,36.665,89.88,12.705,90.0,34.415,23.485,10.4,19.04,35.485,25.3,29.54,4.995,19.865,19.645,1.2149999999999999,12.895,13.33,17.705,,136.145,108.77,103.695,10.065,28.560000000000002,206.11,41.050000000000004,14.815000000000001,307.115,10.280000000000001,13.405,99.86500000000001,23.905,272.98,133.23,13.935,11.879999999999999,29.71,7.42,114.305,18.134999999999998,23.9,140.005,92.985,179.89,23.095,568.755,1930.065,445.19,633.96,183.27,22.965,42.41,619.2149999999999,26.36,48.864999999999995,35.055,16.705,60.425,181.345,15.559999999999999,24.75,68.3,372.45,32.92,340.185,1049.28,13.62,37.505,21.0,45.0
2.41,165.04,31.900000000000002,45.21182080924855,408.685,2106.775,10.8,148.29500000000002,253.0,47.56,100.35,482.16999999999996,6.9,25.125,42.295,14.5,7.545,228.975,85.315,8.715,341.785,120.62,34.91,87.77000000000001,136.815,45.555,687.39,84.685,17.380000000000003,45.285,98.375,65.78,56.035,26.064999999999998,859.595,168.72,340.5,417.9,50.5,189.88,27.145,67.745,939.3299999999999,248.79,166.135,74.575,75.75,143.97,11.165000000000001,190.74,41.275,118.03999999999999,103.805,156.225,65.985,103.52,14.07,39.9,16.495,13.239999999999998,15.614999999999998,28.53,27.34,16.615000000000002,19.61,190.255,44.97,23.689999999999998,34.715,424.62,1099.26,8.86,13.82,138.245,24.53,16.415,102.53999999999999,41.185,43.855,25.895000000000003,36.385,90.195,12.754999999999999,89.24,35.705,23.705,10.47,19.549999999999997,35.095,24.885,31.575000000000003,5.025,20.04,19.585,1.21,12.865,13.219999999999999,17.73,,136.655,116.055,108.83000000000001,10.094999999999999,37.925,215.755,42.92999999999999,14.955,310.015,10.945,12.755,100.425,31.910000000000004,292.635,132.53,13.280000000000001,11.719999999999999,38.755,7.630000000000001,118.89999999999999,17.395,24.115000000000002,140.32999999999998,93.97,186.24,23.375,550.365,1947.9299999999998,463.36,636.81,178.56,22.44,46.985,613.415,25.18,40.62,35.775000000000006,16.66,59.605000000000004,182.085,15.74,24.95,72.53999999999999,452.13,32.870000000000005,331.11,1056.44,13.465,40.415,21.5,45.0
2.63,168.72,40.03,45.91473988439306,432.61,2104.77,11.19,149.65,252.91000000000003,48.394999999999996,100.125,490.36,9.754999999999999,25.18,49.73,16.77,7.365,259.05,87.215,8.655000000000001,339.06,120.97,36.385000000000005,88.81,128.07999999999998,45.885,682.085,93.32,17.134999999999998,55.785,105.83,66.11500000000001,58.245000000000005,26.07,866.1500000000001,168.18,343.96500000000003,409.81,72.96,189.935,28.549999999999997,67.86,933.935,253.29,173.06,79.095,76.34,144.81,11.2,196.91,40.84,119.75,107.305,155.74,65.67,106.285,14.16,39.724999999999994,18.28,13.215,18.095,28.740000000000002,26.275000000000002,17.205,19.42,190.42000000000002,44.57,23.994999999999997,30.93,424.98,1100.16,8.575,15.059999999999999,139.55,26.03,16.995,95.69,41.04,40.2,25.575000000000003,36.585,89.69,12.84,88.66,41.705,23.509999999999998,10.64,21.905,35.254999999999995,25.055,34.495,4.96,19.685000000000002,20.43,1.205,13.305,13.280000000000001,17.665,,133.69,115.595,123.22,10.26,48.125,222.18,44.730000000000004,15.08,309.08,9.205,12.82,99.33500000000001,36.21,297.63,134.305,13.41,12.07,44.84,9.865,114.30499999999999,19.185000000000002,24.725,140.12,93.71000000000001,189.81,23.725,582.21,1985.67,484.05500000000006,640.23,177.735,22.455000000000002,47.105000000000004,673.425,25.735,41.78,35.415,17.18,59.66,185.05,15.78,24.655,70.88,487.865,32.74,359.775,1075.3200000000002,13.585,41.370000000000005,21.0,45.5
2.6,167.735,49.095,46.03765895953757,407.68,2095.065,11.2,149.735,254.45,48.995000000000005,100.645,495.25,13.57,24.915,52.379999999999995,13.785,7.48,265.635,88.725,8.73,335.94,120.5,36.86,92.245,124.725,42.78,685.9849999999999,95.785,18.585,55.295,109.225,64.315,51.65,34.53,864.0799999999999,166.49,341.895,410.28499999999997,76.275,188.385,28.515,58.565,944.27,258.38,175.38,79.15,76.725,144.70999999999998,10.84,195.76,41.235,123.94,103.155,154.72,65.66499999999999,108.445,14.989999999999998,39.805,19.005,15.57,20.924999999999997,27.854999999999997,30.695,19.405,18.689999999999998,191.75,44.575,24.165,40.96,424.62,1065.12,9.315,15.54,139.385,26.950000000000003,18.270000000000003,91.23,41.30500000000001,56.275,26.355,36.515,99.71000000000001,12.420000000000002,91.195,39.209999999999994,33.425,10.905000000000001,22.43,35.195,26.39,39.685,5.0,19.869999999999997,20.825000000000003,1.2,13.385000000000002,13.265,17.695,,131.345,116.15,119.695,10.24,47.900000000000006,234.555,44.98,15.425,312.405,9.11,12.850000000000001,99.205,52.83,295.475,132.375,13.870000000000001,11.58,48.025000000000006,8.33,118.25999999999999,19.284999999999997,23.424999999999997,139.78,94.065,192.3,24.17,668.72,2000.975,597.62,632.61,184.34,22.564999999999998,48.655,1048.375,25.25,57.49,36.75,17.04,59.894999999999996,183.70499999999998,15.895,26.745,74.445,502.145,32.665,629.05,1058.7849999999999,13.305,40.39,21.0,50.5
2.31,166.09,49.86,44.800578034682076,415.91499999999996,2099.035,10.739999999999998,146.91000000000003,255.02,47.685,98.98,493.315,20.59,24.380000000000003,51.629999999999995,12.895,8.235,263.135,89.47999999999999,8.635,329.065,119.78999999999999,32.905,93.82,122.47,30.585,682.51,94.42,18.71,56.22,104.92,63.385,39.705,38.135000000000005,855.0799999999999,144.76,338.625,399.24,74.67,185.62,27.775,49.209999999999994,939.4449999999999,255.945,174.925,79.345,75.50999999999999,145.23000000000002,9.835,192.3,37.995000000000005,122.18,101.4,151.485,67.265,113.22,17.25,39.825,17.095,13.89,20.9,24.465,28.29,17.45,18.064999999999998,192.02999999999997,38.06,24.055,38.315,424.32,1062.9,11.315000000000001,15.774999999999999,138.275,26.905,18.18,89.16,46.120000000000005,63.004999999999995,27.755,36.715,122.64000000000001,11.54,92.07,36.47,59.655,13.37,23.6,31.564999999999998,26.54,42.705,4.87,19.990000000000002,21.56,1.1400000000000001,13.010000000000002,13.035,17.33,,136.06,114.215,119.94999999999999,10.129999999999999,43.33,213.37,41.64,16.134999999999998,313.59000000000003,6.04,13.440000000000001,99.33000000000001,61.42999999999999,267.99,124.44,12.735,10.305,49.2,7.475,112.035,18.65,22.950000000000003,141.5,91.25,188.305,25.185000000000002,683.755,1987.33,639.605,628.8,178.69,22.475,46.945,622.165,25.924999999999997,56.895,36.825,16.165,54.535,163.24,15.989999999999998,32.32,73.15,506.30499999999995,31.24,331.485,1053.525,15.32,40.055,20.5,55.5
2.205,164.77499999999998,49.85,44.64849710982659,423.305,2099.205,10.370000000000001,147.76999999999998,254.76999999999998,46.62,98.705,491.31,14.129999999999999,24.365000000000002,50.53,13.195,11.86,228.055,90.985,8.69,332.515,119.08,32.410000000000004,97.93,117.475,30.950000000000003,681.27,92.965,18.72,56.18,103.69,63.025000000000006,38.84,37.995000000000005,860.5699999999999,143.265,338.435,386.6,76.00999999999999,184.0,27.95,47.394999999999996,933.985,253.65,175.325,79.255,72.155,142.12,9.58,196.39,41.66,112.88999999999999,103.815,151.32,67.235,114.86500000000001,19.735,39.425,15.18,12.635,19.215,21.09,27.585,14.725,18.244999999999997,187.635,36.42,23.955,38.925,416.64,1086.9,9.68,15.425,140.25,26.605,17.795,94.67500000000001,46.205,59.665,26.535,38.825,128.20499999999998,10.74,91.22,37.305,81.065,12.895,27.835,20.555,27.22,46.03,4.08,18.945,18.105,0.765,12.315000000000001,12.485,16.535,,135.55,112.185,121.25,10.364999999999998,41.785,189.59499999999997,40.34,12.36,313.71000000000004,4.005,13.085,96.82,62.625,246.0,124.45500000000001,13.155000000000001,10.305,48.614999999999995,6.8149999999999995,110.87,18.665000000000003,22.595,142.17000000000002,89.39,175.86,25.814999999999998,672.965,1939.8,626.075,636.9,177.625,22.119999999999997,46.400000000000006,619.6,25.015,63.724999999999994,36.225,16.545,53.120000000000005,163.515,17.925,39.065,65.5,513.23,31.035,327.68,1064.39,14.16,39.230000000000004,19.5,51.5
