Fox_education_Virginia,Fox_education_Lilly,Fox_education_Kris,Fox_education_Gayla,Fox_education_Andre,Fox_education_Willis,Fox_education_Charles,Fox_education_Leota,Fox_education_Theodore,Fox_education_Dewayne,Fox_education_Jacqueline,Fox_education_Yolande,Fox_education_Lesley,Fox_education_Maris,Fox_education_John,Fox_education_Marcelina,Fox_education_Sterling,Fox_education_Elvira,Fox_education_Ollie,Fox_education_Elois,Fox_education_Melinda,Fox_education_Geoffrey,Fox_education_Vernon,Fox_education_Tamika,Fox_education_Janina,Fox_education_Burton,Fox_education_Gloria,Fox_education_Nilda,Fox_education_Ashli,Fox_education_Miguelina,Fox_education_Long,Fox_education_Louie,Fox_education_Shaun,Fox_education_Kim,Fox_education_Otilia,Fox_education_Tonya,Fox_education_Elizabeth,Fox_education_Eddy,Fox_education_Melvin,Fox_education_Eldon,Fox_education_Suzan,Fox_education_Shirley,Fox_education_Claude,Fox_education_Maureen,Fox_education_Dominique,Fox_education_Stacia,Fox_education_Ray,Fox_education_Marlana,Fox_education_Rudolph,Fox_education_Leona,Fox_public_Bart,Fox_public_Denny,Fox_public_Lauren,Fox_public_Martin,Fox_public_Belle,Fox_public_Rhonda,Rat_public_Emilee,Rat_public_Nell,Rat_public_Frederick,Rat_public_Leta,Rat_public_Kelly,Rat_public_Sean,Rat_public_Kathleen,Rat_public_Becky,Rat_public_Toya,Rat_public_Loretta,Rat_public_Sharron,Rat_public_Kelle,Rat_public_Johnna,Rat_public_Bronwyn,Rat_public_Alanna,Rat_public_Lynda,Rat_public_Yetta,Rat_public_Laurie,Rat_public_Sade,Rat_public_Damon,Rat_public_Vickie,Rat_public_Chrissy,Rat_public_Allyson,Rat_public_Johnny,Rat_public_Isabel,Rat_public_Yessenia,Rat_public_Joann,Rat_public_Stella,Rat_public_Hortencia,Rat_public_Roma,Rat_public_Fredrick,Rat_public_Helena,Rat_public_Sharonda,Rat_public_Elmira,Rat_public_Clyde,Rat_public_Allie,Rat_public_Leo,Rat_public_Ramona,Rat_public_Julieann,Rat_public_Laura,Rat_public_Kermit,Rat_public_Courtney,Rat_public_Ulysses,Rat_public_Kimber,Fox_office_Israel,Fox_office_Gaylord,Fox_office_Margarita,Fox_office_Clayton,Fox_office_Demetrius,Fox_office_Berniece,Fox_office_Susanne,Fox_office_Alice,Fox_office_Molly,Fox_office_Brandy,Fox_office_Vicki,Fox_office_Karima,Fox_office_Zachary,Fox_office_Joy,Fox_office_Easter,Fox_office_Juana,Fox_office_Carson,Fox_office_Sheila,Fox_office_Thelma,Fox_office_Essie,Fox_office_Rowena,Fox_office_Bernard,Fox_office_Edythe,Fox_office_Yong,Rat_office_Annis,Rat_office_Jessica,Rat_office_Colby,Rat_office_Adele,Rat_office_Chris,Rat_office_Jacinta,Rat_office_Olivia,Rat_office_Ronald,Rat_office_Jamal,Rat_office_Ashlee,Rat_office_Sammy,Rat_office_Arron,Rat_office_Tracy,Rat_office_Randy,Rat_office_Craig,Rat_office_Mei,Rat_office_Jeannie,Rat_office_Kasey,Rat_office_Lora,Rat_office_Ramiro,Rat_office_Jill,Rat_office_Avis,Rat_office_Rosemary,Rat_office_Loyd,Bull_office_Anne,Bull_office_Myron
6.04,152.68,66.20,36.30,440.12,2625.26,22.36,184.73,262.69,57.44,0.19,480.55,7.82,19.15,43.03,1.03,11.12,142.48,95.53,9.77,410.25,101.00,37.53,152.19,95.66,40.56,659.75,109.53,34.08,55.39,80.47,71.89,74.71,47.53,901.00,188.82,417.56,148.76,32.26,202.52,38.16,87.39,951.78,259.69,176.55,76.72,31.50,177.26,20.23,239.83,120.48,150.58,131.76,168.15,148.74,51.35,18.22,60.69,27.38,21.20,27.42,13.24,29.48,24.97,28.34,231.14,47.62,25.07,13.70,493.32,1419.36,14.95,18.88,207.88,45.78,26.41,20.51,67.91,50.66,18.44,58.77,39.03,18.88,103.25,41.90,33.83,25.17,20.71,37.33,28.87,27.17,15.18,23.48,37.48,6.38,14.89,18.21,34.28,,257.25,89.03,126.59,21.33,41.23,100.46,20.58,18.23,326.70,6.28,22.62,157.69,25.95,116.28,172.76,14.48,12.68,33.73,10.75,80.84,5.31,51.28,105.07,105.76,138.70,39.31,619.42,2153.39,458.26,1295.88,267.21,30.49,48.97,492.76,41.12,43.03,54.39,21.03,88.47,292.19,20.11,37.26,39.51,210.58,40.50,300.33,785.06,13.18,39.20,20.00,49.00
6.78,162.48,69.55,37.47,431.06,2630.34,22.70,191.92,263.01,57.30,0.23,476.79,7.77,18.89,40.91,1.17,10.48,141.32,93.23,9.97,404.59,100.68,38.03,150.94,90.84,40.84,661.45,108.93,33.76,56.33,79.22,71.21,72.67,44.80,902.01,189.34,412.26,146.99,32.34,202.49,45.34,86.88,947.44,253.79,174.56,76.70,34.27,174.21,20.41,234.15,127.75,147.20,129.25,167.13,144.88,73.16,18.03,55.81,27.23,20.59,27.38,13.65,29.54,23.90,28.26,227.96,46.61,24.66,14.68,490.56,1419.84,14.77,18.34,202.67,43.71,26.57,20.34,68.43,49.08,18.70,56.72,38.50,18.84,102.58,40.25,32.70,24.65,17.23,37.06,31.05,26.44,15.30,23.02,35.73,6.40,15.22,18.13,33.03,,258.44,87.44,120.85,21.13,40.92,94.73,20.69,17.70,324.23,5.53,21.89,154.87,24.18,115.12,168.38,14.15,13.09,31.71,11.80,82.71,5.45,49.13,105.98,99.40,122.84,37.88,612.10,2162.41,443.31,1291.68,263.75,31.22,48.94,485.52,39.45,43.21,56.84,21.53,88.04,289.01,19.73,38.41,58.39,206.91,40.52,297.09,788.43,12.40,41.55,19.50,47.50
6.00,154.09,68.15,40.36,410.94,2628.55,21.39,188.51,262.67,56.90,0.26,478.04,8.19,18.74,40.20,1.30,9.79,132.34,93.78,10.32,402.38,105.78,37.36,137.44,90.16,40.72,664.72,106.76,33.79,60.62,83.25,71.58,72.41,45.89,891.28,188.09,407.74,293.12,33.50,201.97,39.95,83.28,938.92,252.97,175.56,76.97,33.95,173.74,20.39,235.81,133.16,142.19,127.57,165.18,144.20,94.94,18.05,60.39,25.80,18.84,25.59,13.79,29.25,24.50,27.46,228.03,46.62,25.12,11.17,482.04,1420.26,15.89,17.87,197.01,40.62,27.60,20.96,66.03,48.62,17.95,56.63,36.88,18.54,98.99,35.73,33.40,24.29,16.01,36.21,28.13,25.45,14.96,22.13,34.67,6.40,13.72,17.38,32.59,,262.85,89.87,117.94,20.52,39.06,93.12,23.91,18.02,327.07,6.25,22.44,154.18,23.64,114.07,190.90,13.84,11.81,31.54,11.40,83.50,5.46,48.60,104.81,95.69,103.38,36.24,610.68,2187.40,447.31,1287.19,260.80,30.91,45.41,480.59,39.69,42.74,52.77,19.98,84.72,285.07,19.23,35.48,81.32,205.07,39.88,291.83,770.65,12.40,43.85,19.00,46.00
5.76,158.43,63.89,52.59,407.26,2625.61,21.45,183.81,262.11,55.30,0.29,470.50,7.05,18.73,39.28,1.09,9.65,135.72,93.94,11.00,399.61,106.73,36.14,142.97,98.22,41.78,663.20,110.23,34.53,52.83,92.97,68.08,72.87,44.60,882.67,188.43,403.94,328.13,32.17,201.43,38.88,82.12,944.93,252.95,176.13,77.83,33.00,173.30,21.12,239.93,121.24,139.49,128.24,168.54,143.02,117.86,17.24,52.89,25.02,19.64,24.58,15.99,29.48,24.11,27.06,225.41,45.70,24.55,11.04,477.36,1415.94,15.23,17.74,194.38,37.37,26.09,22.52,61.67,47.94,17.59,55.63,36.22,17.98,98.50,37.86,32.84,24.03,16.40,35.66,28.65,26.53,14.82,21.75,34.28,6.39,13.15,18.04,32.59,,261.69,87.16,120.61,20.53,37.75,91.00,24.81,18.41,327.01,6.42,25.63,154.64,25.27,106.06,189.51,13.77,11.82,30.63,11.62,82.07,5.78,48.45,118.59,94.10,93.02,34.02,607.13,2263.50,427.93,1291.57,258.73,30.98,46.02,485.95,39.43,39.59,53.49,18.97,84.58,283.00,19.07,35.84,78.91,207.17,40.53,305.86,770.95,12.16,41.38,19.50,46.50
9.63,151.89,61.30,48.84,410.74,2627.51,19.77,215.07,261.88,54.77,0.33,478.37,7.33,18.61,37.84,1.56,11.12,137.60,95.03,9.80,399.26,105.91,35.98,135.57,98.76,41.93,657.78,109.22,35.76,52.05,118.92,69.31,71.42,60.13,883.43,188.13,411.39,322.32,32.50,201.88,41.28,83.75,944.44,251.45,176.38,76.67,35.71,173.55,21.30,233.25,66.75,140.52,130.11,164.95,142.25,85.81,18.08,53.52,25.51,19.37,24.77,13.54,28.83,24.61,27.12,223.31,44.84,24.52,10.88,475.26,1436.70,14.62,17.98,192.66,35.91,26.73,19.73,61.69,47.57,16.80,55.25,34.29,17.86,98.88,45.45,32.48,23.36,17.20,35.24,27.64,29.09,14.37,22.23,34.01,6.40,13.28,16.80,31.70,,266.62,86.75,122.24,20.48,41.00,90.59,24.49,16.62,345.83,9.53,22.88,150.61,85.99,165.75,180.11,13.62,11.50,29.74,9.84,108.86,5.37,44.18,119.23,96.92,91.78,32.99,626.04,2298.36,455.57,1278.17,264.57,30.68,46.56,507.81,38.54,40.65,53.04,17.77,144.69,275.27,18.60,33.70,76.90,240.50,41.78,389.40,761.55,11.75,40.70,19.50,46.50
9.58,161.63,62.16,52.44,410.62,2633.02,22.04,239.36,263.69,66.09,0.36,481.65,6.98,18.30,44.95,2.18,15.96,144.89,113.32,9.73,394.22,107.77,36.05,178.43,109.78,65.44,659.42,107.15,36.30,121.16,128.62,70.47,76.79,59.30,884.20,188.14,436.25,315.90,40.67,201.89,40.66,84.83,936.62,252.36,176.28,76.40,35.58,173.41,22.91,263.00,65.16,140.44,131.12,186.34,140.17,77.40,27.86,51.45,27.42,21.15,27.56,16.34,29.41,23.13,26.86,223.81,44.57,24.91,14.10,473.94,1410.96,14.22,17.70,195.56,37.60,29.30,20.33,58.70,48.37,16.11,55.01,34.09,18.19,99.88,70.17,32.84,27.05,17.54,36.28,27.99,29.93,14.34,22.38,33.80,6.40,14.07,17.34,32.54,,374.28,96.97,156.76,20.29,104.91,187.61,28.69,16.73,355.36,7.35,21.35,148.47,106.75,151.79,177.06,17.05,12.12,42.53,12.29,148.00,5.23,43.11,125.78,102.66,93.19,33.66,720.79,2402.92,491.77,1296.41,262.38,31.21,48.41,776.18,38.88,37.91,55.05,19.17,142.27,274.89,18.49,34.01,87.88,296.88,40.47,499.39,772.76,11.34,40.70,19.50,46.50
6.71,195.08,126.95,61.39,410.90,2642.44,23.09,233.40,263.43,116.04,0.40,502.18,12.43,21.12,63.22,3.85,21.35,150.88,119.30,9.71,391.07,109.25,50.14,183.54,116.19,60.45,661.49,128.38,36.36,177.06,155.35,72.55,75.07,58.69,888.91,176.69,491.39,322.77,57.83,202.59,40.61,96.61,943.25,259.21,181.35,76.70,36.13,173.28,32.70,326.26,152.43,141.13,131.21,191.55,139.95,68.91,34.84,50.53,28.78,21.75,27.91,19.66,28.98,25.30,26.79,224.70,45.39,25.46,11.04,481.98,1395.78,16.16,17.60,198.72,36.62,30.00,19.32,59.55,48.05,16.90,54.61,76.81,17.91,101.32,79.85,54.39,28.41,26.12,36.77,29.71,31.26,14.13,22.36,35.59,6.39,15.85,17.25,32.52,,441.14,111.44,224.82,21.12,130.01,139.68,27.99,19.53,359.14,5.91,54.45,149.53,105.65,121.47,176.95,23.24,17.63,46.01,11.29,149.67,6.15,41.53,132.48,108.19,96.06,32.50,766.48,2467.18,503.71,1300.86,259.71,30.97,50.05,1110.08,38.95,36.76,85.05,21.77,144.62,253.87,18.33,32.89,107.75,490.85,40.70,872.93,773.69,13.75,42.25,21.00,53.00
7.99,195.33,196.34,61.14,421.69,2655.45,22.99,248.16,265.88,92.50,7.76,518.33,21.98,22.88,72.28,3.91,26.07,176.92,121.07,10.09,404.78,112.01,56.30,195.91,113.33,44.98,669.14,146.06,36.23,146.45,166.91,75.75,72.37,60.20,900.82,173.78,537.88,323.25,65.67,201.68,39.70,117.86,951.32,266.86,192.74,76.94,37.84,178.65,36.02,337.19,172.54,148.07,128.37,188.84,140.25,94.32,46.92,49.11,27.82,21.61,25.14,15.56,29.39,22.46,23.12,218.03,41.32,25.69,12.96,502.02,1402.02,14.89,16.98,179.45,36.30,28.66,19.41,59.05,47.02,17.12,53.89,148.91,16.48,101.61,75.52,71.20,28.05,26.03,37.48,28.08,34.25,13.80,20.33,33.30,6.10,14.02,17.56,32.03,,461.12,121.28,221.12,24.05,116.64,114.38,28.66,18.05,366.81,6.38,57.05,172.63,105.26,148.90,191.91,22.32,21.77,52.16,13.32,149.47,10.62,48.15,132.62,115.90,116.84,35.70,803.73,2427.71,521.42,1329.60,265.71,72.36,55.41,1189.20,40.32,38.25,77.64,21.72,155.38,239.76,19.20,39.69,108.15,611.07,40.52,920.99,757.42,15.59,57.50,21.00,71.00
9.93,243.94,203.92,74.88,451.19,2673.92,24.27,266.34,269.88,104.65,24.48,563.89,23.57,23.82,86.72,4.16,35.58,209.38,124.98,12.02,417.98,116.89,51.11,214.94,130.60,40.62,681.32,172.24,35.75,152.04,184.78,83.22,76.49,66.94,938.69,187.39,584.16,306.26,92.61,201.75,50.83,120.93,958.46,275.46,207.97,79.81,38.40,188.82,35.88,358.17,181.31,164.38,135.15,202.23,142.69,128.70,47.59,52.03,27.44,19.60,23.52,10.86,33.22,20.32,27.20,222.03,37.24,25.35,14.21,524.40,1361.64,13.57,16.44,169.81,34.63,26.96,19.23,61.17,49.12,15.21,57.12,156.82,16.52,101.67,75.19,73.13,27.79,20.13,38.47,29.43,31.21,13.68,20.68,31.65,5.71,13.02,17.52,31.21,,456.72,145.31,268.64,25.11,134.57,129.33,31.02,25.01,384.46,11.35,70.90,196.86,112.30,172.79,223.84,28.63,24.14,59.23,13.21,186.53,22.04,68.84,135.76,134.44,156.85,35.36,817.25,2423.22,568.39,1352.62,269.53,94.63,55.02,1241.40,43.50,38.80,82.03,20.13,166.09,251.12,23.79,47.66,113.42,693.88,42.60,963.82,851.61,19.39,71.85,20.00,76.00
13.12,257.88,202.89,92.12,497.74,2695.59,25.45,290.90,282.46,121.33,41.13,595.98,22.36,26.09,103.52,4.13,44.68,229.06,125.36,15.23,455.78,123.02,56.24,224.25,140.96,51.01,697.92,177.28,36.56,167.19,199.13,95.38,79.61,73.91,973.37,207.19,641.37,300.59,114.36,210.12,55.62,134.93,969.81,290.28,222.51,82.08,39.11,201.70,35.36,380.33,188.76,181.44,135.05,208.15,150.57,128.46,48.70,48.18,27.38,20.49,24.17,11.23,35.45,19.58,29.67,222.79,35.07,24.93,11.78,548.52,1349.52,13.62,16.48,178.59,35.88,25.91,24.84,63.80,51.53,15.56,64.38,168.02,18.81,102.34,76.66,76.31,27.22,19.34,41.58,27.99,27.89,15.95,20.19,31.41,5.71,12.58,16.32,38.28,,431.30,161.24,299.30,25.93,146.61,143.44,29.70,30.16,407.87,13.85,79.57,210.48,118.40,181.55,238.14,33.81,25.44,66.49,16.20,197.72,36.40,71.96,137.44,149.50,176.58,37.02,842.42,2435.86,596.22,1364.68,277.69,97.76,56.03,1271.89,45.89,42.14,87.77,19.38,163.41,249.91,25.65,49.42,122.66,721.68,45.88,1035.72,939.18,21.34,79.24,22.00,80.00
